"PART_ID","REF_PART_ID","TYPE","LANGUAGE","META_VALUES","CREATE_TIME","MODIFY_TIME","STATUS"
GKPC-401,"859700-913",CrossSellReference,en,Rank|2#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-401,"683775-913",CrossSellReference,es,Rank|3#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-401,GX96-IPC,CrossSellReference,es,Rank|1#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-401,"859700-913",CrossSellReference,es,Rank|2#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-401,"683775-913",CrossSellReference,fr,Rank|3#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-401,GX96-IPC,CrossSellReference,fr,Rank|1#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-401,"859700-913",CrossSellReference,fr,Rank|2#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-401,"683775-913",CrossSellReference,it,Rank|3#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-401,GX96-IPC,CrossSellReference,it,Rank|1#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-401,"859700-913",CrossSellReference,it,Rank|2#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-401,"683775-913",CrossSellReference,ja,Rank|3#,2019-08-21 17:26:12,2019-08-21 17:26:12,"1"
GKPC-401,GX96-IPC,CrossSellReference,ja,Rank|1#,2019-08-21 17:26:12,2019-08-21 17:26:12,"1"
GKPC-401,"859700-913",CrossSellReference,ja,Rank|2#,2019-08-21 17:26:12,2019-08-21 17:26:12,"1"
GKPC-401,"683775-913",CrossSellReference,zh,Rank|3#,2019-08-21 17:24:20,2019-08-21 17:24:20,"1"
GKPC-401,GX96-IPC,CrossSellReference,zh,Rank|1#,2019-08-21 17:24:20,2019-08-21 17:24:20,"1"
GKPC-401,"859700-913",CrossSellReference,zh,Rank|2#,2019-08-21 17:24:20,2019-08-21 17:24:20,"1"
GKPC-403,GX96-IPC,CrossSellReference,de,Rank|1#,2019-08-21 17:25:11,2019-08-21 17:25:11,"1"
GKPC-403,"859700-913",CrossSellReference,de,Rank|2#,2019-08-21 17:25:11,2019-08-21 17:25:11,"1"
GKPC-403,"683775-913",CrossSellReference,de,Rank|3#,2019-08-21 17:25:11,2019-08-21 17:25:11,"1"
GKPC-403,GX96-IPC,CrossSellReference,en,Rank|1#,2019-08-21 17:25:32,2019-08-21 17:25:32,"1"
GKPC-403,"859700-913",CrossSellReference,en,Rank|2#,2019-08-21 17:25:32,2019-08-21 17:25:32,"1"
GKPC-403,"683775-913",CrossSellReference,en,Rank|3#,2019-08-21 17:25:32,2019-08-21 17:25:32,"1"
GKPC-403,GX96-IPC,CrossSellReference,es,Rank|1#,2019-08-21 17:26:57,2019-08-21 17:26:57,"1"
GKPC-403,"859700-913",CrossSellReference,es,Rank|2#,2019-08-21 17:26:57,2019-08-21 17:26:57,"1"
GKPC-403,"683775-913",CrossSellReference,es,Rank|3#,2019-08-21 17:26:57,2019-08-21 17:26:57,"1"
GKPC-403,GX96-IPC,CrossSellReference,fr,Rank|1#,2019-08-21 17:24:51,2019-08-21 17:24:51,"1"
GKPC-403,"859700-913",CrossSellReference,fr,Rank|2#,2019-08-21 17:24:51,2019-08-21 17:24:51,"1"
GKPC-403,"683775-913",CrossSellReference,fr,Rank|3#,2019-08-21 17:24:51,2019-08-21 17:24:51,"1"
GKPC-403,GX96-IPC,CrossSellReference,it,Rank|1#,2019-08-21 17:25:54,2019-08-21 17:25:54,"1"
GKPC-403,"859700-913",CrossSellReference,it,Rank|2#,2019-08-21 17:25:54,2019-08-21 17:25:54,"1"
GKPC-403,"683775-913",CrossSellReference,it,Rank|3#,2019-08-21 17:25:54,2019-08-21 17:25:54,"1"
GKPC-403,GX96-IPC,CrossSellReference,ja,Rank|1#,2019-08-21 17:26:24,2019-08-21 17:26:24,"1"
GKPC-403,"859700-913",CrossSellReference,ja,Rank|2#,2019-08-21 17:26:24,2019-08-21 17:26:24,"1"
GKPC-403,"683775-913",CrossSellReference,ja,Rank|3#,2019-08-21 17:26:24,2019-08-21 17:26:24,"1"
GKPC-403,GX96-IPC,CrossSellReference,zh,Rank|1#,2019-08-21 17:24:30,2019-08-21 17:24:30,"1"
GKPC-403,"859700-913",CrossSellReference,zh,Rank|2#,2019-08-21 17:24:30,2019-08-21 17:24:30,"1"
GKPC-403,"683775-913",CrossSellReference,zh,Rank|3#,2019-08-21 17:24:30,2019-08-21 17:24:30,"1"
GKSB-101,"859700-913",CrossSellReference,de,Rank|2#,2019-08-21 17:25:06,2019-08-21 17:25:06,"1"
GKSB-101,"683775-913",CrossSellReference,de,Rank|3#,2019-08-21 17:25:06,2019-08-21 17:25:06,"1"
GKSB-101,GX96-2AB,CrossSellReference,de,Rank|1#,2019-08-21 17:25:06,2019-08-21 17:25:06,"1"
GKSB-101,"859700-913",CrossSellReference,en,Rank|2#,2019-08-21 17:25:27,2019-08-21 17:25:27,"1"
GKSB-101,"683775-913",CrossSellReference,en,Rank|3#,2019-08-21 17:25:27,2019-08-21 17:25:27,"1"
GKSB-101,GX96-2AB,CrossSellReference,en,Rank|1#,2019-08-21 17:25:27,2019-08-21 17:25:27,"1"
GKSB-101,"859700-913",CrossSellReference,es,Rank|2#,2019-08-21 17:26:50,2019-08-21 17:26:50,"1"
GKSB-101,"683775-913",CrossSellReference,es,Rank|3#,2019-08-21 17:26:50,2019-08-21 17:26:50,"1"
GKSB-101,GX96-2AB,CrossSellReference,es,Rank|1#,2019-08-21 17:26:50,2019-08-21 17:26:50,"1"
GKSB-101,"859700-913",CrossSellReference,fr,Rank|2#,2019-08-21 17:24:46,2019-08-21 17:24:46,"1"
GKSB-101,"683775-913",CrossSellReference,fr,Rank|3#,2019-08-21 17:24:46,2019-08-21 17:24:46,"1"
GKSB-101,GX96-2AB,CrossSellReference,fr,Rank|1#,2019-08-21 17:24:46,2019-08-21 17:24:46,"1"
GKSB-101,"859700-913",CrossSellReference,it,Rank|2#,2019-08-21 17:25:49,2019-08-21 17:25:49,"1"
GKSB-101,"683775-913",CrossSellReference,it,Rank|3#,2019-08-21 17:25:49,2019-08-21 17:25:49,"1"
GKSB-101,GX96-2AB,CrossSellReference,it,Rank|1#,2019-08-21 17:25:49,2019-08-21 17:25:49,"1"
